feature,development/fold_01,development/fold_02,development/fold_03,final_test/fold_01,final_test/fold_02,final_test/fold_03,final_test/fold_04,final_test/fold_05,final_test/fold_06
ff_unreal_gl_bio_assets,True,True,True,True,True,True,True,True,True
ff_unreal_gl_deriv,True,True,True,True,True,True,True,True,True
ff_unreal_gl_invest,True,True,True,True,True,True,True,True,True
ff_unreal_gl_oth,True,True,True,True,True,True,True,True,True
ff_unreal_gl_prop,True,True,True,True,True,True,True,True,True
ff_unreal_gl_tot,True,True,True,True,True,True,True,True,True
ff_unreal_invest_gl,True,True,True,True,True,True,True,True,True
ff_wkcap_assets_oth,True,True,True,True,True,True,True,True,True
ff_xcept_prov,True,True,True,True,True,True,True,True,True
ff_zscore,True,True,True,True,True,True,True,True,True
